title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description
Where the Wild Things Are,Maurice Sendak,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,Maurice Sendak,https://covers.openlibrary.org/b/id/50842-L.jpg,https://openlibrary.org/works/OL2568879W,"This is an inspired children's book about a boy's passage through tempestuous aspects of life.

Max, a naughty little boy, sent to bed without his supper, sails to the land of the wild things, where he becomes their king."
The Very Hungry Caterpillar,Eric Carle,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,Eric Carle,https://covers.openlibrary.org/b/id/7835968-L.jpg,https://openlibrary.org/works/OL52987W,"One sunny day, a caterpillar pops out of an egg. He is very hungry and begins searching for food.  He eats his way through ten very sweet pages and gets a tummy ache before finally finding a good, healthy leaf, which makes him sleepy. Then something really amazing happens. But you will have to read it your self to find out what!"
The Giving Tree,Shel Silverstein,https://www.goodreads.com/book/show/370493.The_Giving_Tree,The Giving Tree,Shel Silverstein,https://covers.openlibrary.org/b/id/8981758-L.jpg,https://openlibrary.org/works/OL3368288W,"From Shel Silverstein, New York Times bestselling author of Where the Sidewalk Ends and A Light in the Attic, comes a poignant picture book about love and acceptance, cherished for over fifty years. This classic is perfect for both young readers and lifelong fans.

""Once there was a tree...and she loved a little boy.""

So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein. This moving parable for all ages offers a touching interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.

Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave. This is a tender story, touched with sadness, aglow with consolation.

The Giving Tree is a meaningful gift for milestone events such as graduations, birthdays, and baby showers.

Shel Silverstein's incomparable career as a bestselling children's book author and illustrator began with Lafcadio, the Lion Who Shot Back. He is also the creator of picture books including A Giraffe and a Half, Who Wants a Cheap Rhinoceros?, The Missing Piece, The Missing Piece Meets the Big O, and the perennial favorite The Giving Tree, and of classic poetry collections such as Where the Sidewalk Ends, A Light in the Attic, Falling Up, Every Thing On It, Don't Bump the Glump!, and Runny Babbit plus Runny Babbit Returns."
Green Eggs and Ham,Dr. Seuss,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,Green Eggs and Ham,Dr. Seuss,https://covers.openlibrary.org/b/id/231746-L.jpg,https://openlibrary.org/works/OL1898308W,"Sam-I-am tries to persuade the character in the top hat to try green eggs and ham.
 “Do you like green eggs and ham?” asks Sam-I-am in this Beginner Book by Dr. Seuss. In a house or with a mouse? In a boat or with a goat? On a train or in a tree? Sam keeps asking persistently. With unmistakable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. In this most famous of cumulative tales, the list of places to enjoy green eggs and ham, and friends to enjoy them with, gets longer and longer. Follow Sam-I-am as he insists that this unusual treat is indeed a delectable snack to be savored everywhere and in every way."
Goodnight Moon,Margaret Wise Brown,https://www.goodreads.com/book/show/32929.Goodnight_Moon,Goodnight Moon,Margaret Wise Brown,https://covers.openlibrary.org/b/id/35556-L.jpg,https://openlibrary.org/works/OL151798W,"Goodnight to each of the objects in the great green room: the chairs, a comb, and the air."
Charlotte’s Web,E.B. White,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,Charlotte's Web,E. B. White,https://covers.openlibrary.org/b/id/8461797-L.jpg,https://openlibrary.org/works/OL483391W,"Charlotte's Web is a book of children's literature by American author E. B. White and illustrated by Garth Williams; it was published on October 15, 1952, by Harper & Brothers. The novel tells the story of a livestock pig named Wilbur and his friendship with a barn spider named Charlotte. When Wilbur is in danger of being slaughtered by the farmer, Charlotte writes messages praising Wilbur (such as ""Some Pig"") in her web in order to persuade the farmer to let him live.


----------
Also contained in:
[Novels](https://openlibrary.org/works/OL483326W)"
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat,,,,,
Where the Sidewalk Ends,Shel Silverstein,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends,Where the Sidewalk Ends,Shel Silverstein,https://covers.openlibrary.org/b/id/31070-L.jpg,https://openlibrary.org/works/OL3368289W,"If you are a dreamer, come in, If you are a dreamer, A wisher, a liar, A hope-er, a pray-er, A magic bean buyer... Come in ... for where the sidewalk ends, Shel Silverstein's world begins. You'll meet a boy who turns into a TV set, and a girl who eats a whale. The Unicorn and the Bloath live there, and so does Sarah Cynthia Sylvia Stout who will not take the garbage out. It is a place where you wash your shadow and plant diamond gardens, a place where shoes fly, sisters are auctioned off, and crocodiles go to the dentist. Shel Silverstein's masterful collection of poems and drawings is at once outrageously funny and profound. This special edition has 12 extra poems the did not appear in the original collection. - Jacket flap."
If You Give a Mouse a Cookie,Laura Joffe Numeroff,https://www.goodreads.com/book/show/767680.If_You_Give_a_Mouse_a_Cookie,If You Give a Mouse a Cookie,Laura Joffe Numeroff,https://covers.openlibrary.org/b/id/50977-L.jpg,https://openlibrary.org/works/OL61432W,Relating the cycle of requests a mouse is likely to make after you give him a cookie takes the reader through a young child's day.
Love You Forever,Robert Munsch,https://www.goodreads.com/book/show/310259.Love_You_Forever,Love You Forever,Robert N Munsch,https://covers.openlibrary.org/b/id/772161-L.jpg,https://openlibrary.org/works/OL88707W,"The story details the cycle of life by chronicling the experiences of a young son and his mother throughout the course of the boy's life, and describing the exasperating behaviour exhibited by him throughout his youth. In spite of her occasional aggravation caused by her son's behaviour, the mother nonetheless visits his bedroom nightly to cradle him in her arms, and sing a brief lullaby promising to always love him. After her son enters adulthood and leaves home, his elderly mother occasionally sneaks into his bedroom at night to croon her customary lullaby. However she gradually grows old and frail, and her grown son visits his feeble, sickly mother for the final time. When he first arrives, his mother tries to sing her lullaby to him, but she is too weak to finish. He then cradles her in his arms and sings an altered rendition of her lullaby in reciprocation of the unconditional love that she had shown him throughout his life, vowing to always love her in return. After returning home in a scene implying the death of his mother, he cradles his newborn daughter and sings his mother's signature lullaby for her, implying that the cycle will continue."
